,0
229,-41535
230,-22827
231,55961
232,-35895
233,41706
234,76888
235,64367
236,-22332
237,40249
238,-38759
239,56932
240,44030
241,-91815
242,-79841
243,-98785
244,19458
245,-62526
246,34170
247,-70758
248,40974
249,94193
250,75326
251,3426
252,-35834
253,-14432
254,27970
255,36091
256,80135
257,41816
258,-88213
259,-26006
260,74317
261,-83664
262,-58216
263,64280
264,52496
265,53699
266,-40403
267,-62598
268,-14680
269,13531
270,-42266
271,91375
272,30842
273,-97782
274,88494
275,19352
276,32288
277,17616
278,-57385
279,-93010
280,-15005
281,-83300
282,22010
283,63365
284,-5648
285,-24015
286,-35338
287,71614
288,98637
289,38380
290,22085
291,-49029
292,-31435
293,21202
294,51246
295,94195
296,32687
297,-16812
298,35736
299,-12995
300,-69218
301,-77629
302,58493
303,-43474
304,-34771
305,3050
306,51654
307,-48805
308,-86667
309,-95762
310,-69536
311,14024
312,-95009
313,1885
314,-29763
315,73766
316,-53347
317,58308
318,54646
319,-18448
320,-54702
321,61835
322,21645
323,-36696
324,-94049
325,90114
326,81744
327,33661
328,-37808
329,96122
330,-6112
331,-91308
332,-19287
333,-57831
334,-83307
335,-5501
336,98920
337,95993
338,16960
339,-97289
340,26448
341,-95965
342,-86303
343,35152
344,-60974
345,-64772
346,-85182
347,88717
348,30606
349,59361
350,84341
351,-97614
352,34342
353,-35248
354,76066
355,49414
356,56310
357,83802
358,45244
359,77523
360,-7595
361,-69123
362,-60548
363,61660
364,99526
365,-43803
366,-98868
367,-56925
368,81366
369,87986
370,-10628
371,27740
372,-31878
373,-12424
374,-20014
375,75942
376,-85385
377,-3129
378,52592
379,-37251
380,75542
381,-87850
382,-76306
383,12614
384,90789
385,-75223
386,-93014
387,22643
388,3906
389,72861
390,61824
391,23032
392,90808
393,-83869
394,-74721
395,83511
396,14597
397,-90311
398,14230
399,32358
400,-931
401,-92845
402,96233
403,-86116
404,52815
405,87781
406,37693
407,57548
408,-26712
409,30642
410,85635
411,12512
412,45969
413,17892
414,-28303
415,-17257
416,60055
417,-66604
418,50460
419,-92988
420,77023
421,-53091
422,35250
423,4915
424,-19046
425,-91666
426,7026
427,52051
428,-53296
429,46404
430,-36804
431,19170
432,79342
433,75496
434,-69295
435,-95669
436,33976
437,46707
438,81287
439,-30111
440,-37082
441,31712
442,-41069
443,-670
444,56626
445,-25709
446,87934
447,79233
448,-49538
449,-5442
450,65709
451,-24303
452,22960
453,-93728
454,86529
455,-33565
456,52035
457,67147
458,-1898
459,-58503
460,64310
461,70112
462,-21513
463,-89076
464,-92867
465,86726
466,-40270
467,45642
468,38878
469,13260
470,70269
471,-6704
472,94744
473,33725
474,60354
475,83178
476,56248
477,67947
478,-39657
479,59835
480,96963
481,-48573
482,91904
483,-20060
484,-3790
485,67263
486,34079
487,-20981
488,-75651
489,-32564
490,-36744
491,94446
492,-53420
493,-85469
494,14100
495,71581
496,-24987
497,-38884
498,90833
499,73154
500,-46934
501,-92064
502,-46835
503,-82407
504,54037
505,65771
506,44366
507,16198
508,80850
509,-75019
510,55592
511,11945
512,-98047
513,-5202
514,4998
515,58911
516,4241
517,6561
518,-18935
519,29392
520,-41490
521,16295
522,-71526
523,19200
524,18239
525,29887
526,27539
527,-61565
528,21763
529,-54299
530,7146
531,78718
532,-92239
533,-30796
534,-70998
535,86705
536,44918
537,66504
538,91183
539,98293
540,33524
541,65949
542,85180
543,46442
544,28611
545,-70021
546,18667
547,-80704
548,-49805
549,63415
550,-85517
551,33903
552,79822
553,5935
554,-84400
555,-8533
556,21422
557,-60071
558,-2895
559,3032
560,-68556
561,79920
562,45068
563,62998
564,-73397
565,-59110
566,-87209
567,-15479
568,-31272
569,-57220
570,-80799
571,51195
572,96717
573,85850
574,-82341
575,-98623
576,52140
577,-4406
578,-17019
579,75145
580,63062
581,92847
582,-89840
583,-53323
584,-86833
585,-22818
586,-92879
587,50057
588,-30534
589,-51104
590,-91641
591,-24073
592,45203
593,97224
594,15286
595,-98444
596,-22924
597,82097
598,-23324
599,21118
600,62809
601,-66853
602,-12457
603,34764
604,-73763
605,60306
606,-41735
607,-68544
608,-19870
609,-64647
610,-15686
611,76013
612,-44173
613,-54255
614,-18436
615,70835
616,-24869
617,5232
618,1163
619,6921
620,-15741
621,9629
622,50466
623,-62271
624,39769
625,-58842
626,-64018
627,15062
628,-74259
629,-28370
630,-54091
631,-71900
632,-69598
633,-65996
634,-9844
635,-63998
636,84799
637,98869
638,45603
639,95008
640,9802
641,-99327
642,-40505
643,97619
644,-66975
645,84857
646,28889
647,-30614
648,70225
649,-23475
650,-33112
651,68998
652,-10516
653,89929
654,35423
655,62550
656,-27752
657,-51356
658,-64336
659,15992
660,-28670
661,-88621
662,13197
663,90696
664,-16041
665,-82835
666,-69826
667,-92705
668,2924
669,43092
670,3146
671,-18802
672,-50490
673,38776
674,-32254
675,-492
676,-76158
677,-66747
678,2600
679,-2175
680,61804
681,73832
682,65853
683,-44258
684,-29012
685,-95150
686,62821
687,-7118
688,-770
689,-4958
690,77152
691,4114
692,-80609
693,14957
694,54337
695,-82528
696,8613
697,1324
698,-43285
699,20917
700,45246
701,27698
702,-75434
703,-74600
704,-56592
705,-51966
706,49121
707,81336
708,59077
709,-10862
710,-38019
711,-38646
712,63232
713,-12401
714,92405
715,-89516
716,40678
717,-1510
718,91146
719,89528
720,51552
721,32885
722,57926
723,-89103
724,3087
725,-28786
726,-8592
727,-91000
728,-26415
729,7970
730,-2
731,25858
732,84593
733,-30847
734,93720
735,87131
736,-70849
737,99812
738,-12080
739,76605
740,24030
741,97117
742,-58217
743,-88982
744,-94558
745,-33451
746,-38785
747,84271
748,7652
749,-79526
750,-42020
751,89333
752,-33474
753,94081
754,-50816
755,95163
756,61084
757,64365
758,8054
759,57377
760,-97760
761,11794
762,-73501
763,-94654
764,70202
765,76597
766,-80797
767,-96149
768,28879
769,-65935
770,18049
771,-66067
772,62618
773,27650
774,-36475
775,-62383
776,63755
777,21897
778,81017
779,-87464
780,-16143
781,69085
782,-17420
783,26375
784,60311
785,-90566
786,-77972
787,78738
788,-55470
789,22671
790,-66989
791,-94455
792,-6958
793,29203
794,-47207
795,72009
796,-53430
797,67148
798,67362
799,25921
800,97550
801,9546
802,-8312
803,-21906
804,58169
805,92979
806,-79083
807,-16767
808,2394
809,65292
810,54624
811,69329
812,-94513
813,57002
814,16806
815,12302
816,-9808
817,-7818
818,94842
819,22199
820,-10793
821,51201
822,24261
823,7883
824,62620
825,-59834
826,6213
827,-58150
828,52523
829,2629
830,35349
831,11433
832,-55435
833,-70943
834,-38235
835,-4080
836,-30237
837,-77503
838,59982
839,-33447
840,70423
841,62607
842,53520
843,41277
844,96060
845,-30791
846,-65263
847,2979
848,-33490
849,82577
850,95767
851,39226
852,-4719
853,80589
854,-36983
855,13431
856,-38662
857,53646
858,73176
859,24961
860,-94450
861,64517
862,-93364
863,-20555
864,35332
865,60854
866,-45280
867,41924
868,-78351
869,69352
870,-72985
871,2768
872,-70016
873,86979
874,27553
875,-44783
876,91383
877,-19344
878,-77624
879,-13669
880,-20559
881,-96768
882,15816
883,-9230
884,-72442
885,68609
886,-58146
887,45375
888,99415
889,2816
890,-97869
891,-22237
892,-47303
893,-66963
894,89765
895,-31933
896,31581
897,-40006
898,-96267
899,-80077
900,-11094
901,-66457
902,50247
903,96109
904,-29794
905,8354
906,-32052
907,-71118
908,61049
909,-66346
910,-18564
911,59226
912,92139
913,57871
914,-70303
915,43835
916,62655
917,-9847
918,53875
919,87257
920,56280
921,68371
922,-32395
923,47825
924,91555
925,-89673
926,11622
927,83831
928,71267
929,-46307
930,53500
931,-30999
932,7503
933,-5063
934,64478
935,89156
936,56801
937,-5799
938,40082
939,-64019
940,57035
941,-27084
942,19741
943,-29529
944,-96526
945,25787
946,55930
947,-33103
948,-36586
949,-58761
950,19984
951,-51597
952,-84022
953,-38203
954,99563
955,-54052
956,-48107
957,-2999
958,46763
959,-8169
960,-36213
961,-79115
962,53890
963,-51420
964,6149
965,23601
966,42874
967,15922
968,-49873
969,41275
970,-73744
971,-34560
972,-83232
973,-37301
974,906
975,-18751
976,42419
977,-97507
978,-39641
979,81668
980,-15761
981,-14651
982,-40058
983,-68764
984,81987
985,59422
986,70084
987,3977
988,51487
989,90060
990,-92092
991,65070
992,46392
993,18103
994,12290
995,21764
996,-54819
997,24692
998,53000
999,70490
1000,-40287
1001,-10047
1002,-70685
1003,96094
1004,92517
1005,-52019
1006,-38376
1007,-32036
1008,30309
1009,16383
1010,-62945
1011,-15452
1012,-64494
1013,4222
1014,22937
1015,34569
1016,-77173
1017,10194
1018,95981
1019,-37337
1020,22977
1021,94068
1022,7135
1023,-9121
1024,578
1025,-49719
1026,-28712
1027,46592
1028,89904
1029,8951
1030,14521
1031,-71608
1032,-19714
1033,-34392
1034,-55551
1035,-25688
1036,84159
1037,89149
1038,86245
1039,40505
1040,14332
1041,54728
1042,7296
1043,58819
1044,34603
1045,99911
1046,46109
1047,89337
1048,-54572
1049,35665
1050,-92570
1051,-61604
1052,8495
1053,-65360
1054,83243
1055,31608
1056,-69180
1057,-84080
1058,78157
1059,-32477
1060,-64588
1061,-63406
1062,9163
1063,-72671
1064,41730
1065,97531
1066,27664
1067,-5507
1068,-85696
1069,68155
1070,9114
1071,83733
1072,42956
1073,-13649
1074,-77748
1075,-50776
1076,-95029
1077,-27511
1078,76085
1079,-26588
1080,-55921
1081,-31588
1082,-98621
1083,52761
1084,47299
1085,28996
1086,40308
1087,63823
1088,40697
1089,83515
1090,-98196
1091,40438
1092,-37664
1093,61300
1094,-52197
1095,-74927
1096,81204
1097,-5460
1098,-20001
1099,74239
1100,-62719
1101,52451
1102,-30626
1103,13603
1104,-96435
1105,70777
1106,61586
1107,31920
1108,93679
1109,-788
1110,48364
1111,87772
1112,37792
1113,-4733
1114,-83239
1115,1836
1116,2460
1117,18376
1118,-87228
1119,-61412
1120,-36856
1121,-22418
1122,16120
1123,56604
1124,-34140
1125,91747
1126,-13501
1127,-35690
1128,90662
1129,-27583
1130,81208
1131,-53741
1132,-55033
1133,-49669
1134,-92728
1135,-72914
1136,-27251
1137,82591
1138,93688
1139,-29242
1140,90277
1141,-81586
1142,97272
1143,-95684
1144,66957
1145,-98494
1146,-20780
1147,37779
1148,28678
1149,90283
1150,53440
1151,-67967
1152,81978
1153,-41423
1154,-15054
1155,16545
1156,-39132
1157,-60489
1158,67912
1159,29211
1160,30032
1161,76139
1162,4054
1163,-10246
1164,37165
1165,95777
1166,18628
1167,65723
1168,-25626
1169,-55003
1170,-35354
1171,-17061
1172,52744
1173,75124
1174,-45259
1175,-78098
1176,-96896
1177,87884
1178,84689
1179,-375
1180,55618
1181,77468
1182,40281
1183,-11694
1184,-95556
1185,-68650
1186,-50838
1187,41607
1188,9022
1189,-19097
1190,-36158
1191,63074
1192,-51305
1193,-26512
1194,58184
1195,27336
1196,-61380
1197,-72530
1198,-30720
1199,53718
1200,59010
1201,-64946
1202,11665
1203,-66912
1204,49472
1205,-66747
1206,-68057
1207,-44163
1208,21369
1209,-84867
1210,76456
1211,-31001
1212,-65453
1213,79867
1214,-3377
1215,91384
1216,22439
1217,-1716
1218,83845
1219,49126
1220,-30061
1221,-12799
1222,80007
1223,92780
1224,78741
1225,-26131
1226,34562
1227,80906
1228,-21714
1229,58260
1230,62348
1231,-20780
1232,49046
1233,34717
1234,-93627
1235,73942
1236,71370
1237,46188
1238,49951
1239,-93738
1240,-47169
1241,-70304
1242,76227
1243,53639
1244,-21383
1245,68681
1246,67728
1247,4658
1248,8385
1249,-34677
1250,46769
1251,5717
1252,68589
1253,-38670
1254,-39986
1255,-28114
1256,12681
1257,85982
1258,-47059
1259,22666
1260,45184
1261,-54585
1262,-43836
1263,22377
1264,6029
1265,54160
1266,-91421
1267,87094
1268,-91556
1269,16781
1270,-21664
1271,-30500
1272,-84835
1273,-53434
1274,36221
1275,89362
1276,84536
1277,85562
1278,-80893
1279,7817
1280,-12638
1281,9918
1282,-77859
1283,45369
1284,-14930
1285,27416
1286,-57416
1287,53847
1288,-15287
1289,-67811
1290,78768
1291,-70781
1292,-34744
1293,-97342
1294,-84469
1295,94949
1296,-42520
1297,1267
1298,-96348
1299,8934
1300,94016
1301,31850
1302,-72745
1303,99438
1304,-23937
1305,-40086
1306,-5443
1307,19555
1308,97286
1309,-26351
1310,57168
1311,-58150
1312,1221
1313,-13723
1314,24093
1315,-30201
1316,-81260
1317,-63789
1318,74583
1319,60174
1320,13121
1321,-60346
1322,-63446
1323,-19423
1324,-47797
1325,72913
1326,-71847
1327,-41619
1328,28364
1329,-16956
1330,-56176
1331,-99584
1332,-47496
1333,78054
1334,57911
1335,-48322
1336,-69090
1337,-19759
1338,36215
1339,67861
1340,-42527
1341,-12836
1342,77433
1343,-39067
1344,-18974
1345,-85308
1346,88556
1347,2599
1348,-2247
1349,88968
1350,-17095
1351,26557
1352,33926
1353,98822
1354,33519
1355,86686
1356,-61092
1357,6425
1358,8397
1359,93734
1360,-26851
1361,-94448
1362,-48124
1363,-77400
1364,-85735
1365,62784
1366,-62831
1367,70610
1368,5430
1369,35047
1370,61309
1371,-80373
1372,47277
1373,-95100
1374,-1521
1375,-60428
1376,5104
1377,75364
1378,-44567
1379,41251
1380,36341
1381,49485
1382,94040
1383,49243
1384,-47264
1385,42639
1386,-62945
1387,-11592
1388,30326
1389,69403
1390,-32610
1391,1327
1392,56153
1393,23997
1394,13843
1395,-23076
1396,-17256
1397,5371
1398,90800
1399,85783
1400,-89647
1401,-71798
1402,32611
1403,-32199
1404,-1020
1405,-50377
1406,-50884
1407,45363
1408,49787
1409,91604
1410,-11403
1411,87800
1412,30354
1413,-92544
1414,-47382
1415,3560
1416,52524
1417,-42568
1418,-50044
1419,12602
1420,-27485
1421,82633
1422,-92340
1423,73620
1424,-10414
1425,-59230
1426,63424
1427,-38947
1428,-25252
1429,-68970
1430,-28013
1431,-70878
1432,21544
1433,-71372
1434,-50999
1435,65320
1436,-20405
1437,30123
1438,-76217
1439,-43398
1440,1774
1441,-26785
1442,-75825
1443,-3452
1444,-20654
1445,-12030
1446,60611
1447,-51411
1448,-46904
1449,-45504
1450,88822
1451,-69238
1452,-98542
1453,-71118
1454,-20174
1455,-69694
1456,51917
1457,-16764
1458,-15035
1459,-45214
1460,13464
1461,10953
1462,49264
1463,37592
1464,-29358
1465,-56054
1466,18157
1467,-36016
1468,-27735
1469,68944
1470,76387
1471,-23899
1472,-947
1473,-92326
1474,29347
1475,4602
1476,-86113
1477,48406
1478,-55875
1479,-65593
1480,-74673
1481,-26169
1482,72722
1483,99730
1484,-3411
1485,29115
1486,80026
1487,-86414
1488,-39314
1489,16288
1490,-11425
1491,-94975
1492,-59732
1493,7188
1494,4110
1495,54679
1496,56794
1497,-44649
1498,18776
1499,99732
1500,48577
1501,-72390
1502,45967
1503,-83074
1504,41627
1505,13800
1506,10596
1507,-41376
1508,95786
1509,4977
1510,-29462
1511,38098
1512,16625
1513,-75725
1514,-68684
1515,-44623
1516,9268
1517,-18758
1518,48770
1519,41915
1520,-33138
1521,-72853
1522,-22457
1523,88691
1524,-97149
1525,-96206
1526,-28548
1527,-25370
1528,45682
1529,-49727
1530,83058
1531,5218
1532,-90985
1533,-97836
1534,84626
1535,-70935
1536,-6165
1537,-52934
1538,-55688
1539,15837
1540,-57330
1541,-42073
1542,51754
1543,42588
1544,53516
1545,76648
1546,-82269
1547,-74542
1548,-14492
1549,-40691
1550,-15554
1551,40173
1552,-18469
1553,-2910
1554,15535
1555,13039
1556,-38680
1557,71710
1558,-1320
1559,-40503
1560,-91019
1561,-82822
1562,-99435
1563,-61497
1564,96808
1565,40403
1566,-26099
1567,90776
1568,-18314
1569,-26066
1570,66208
1571,-11160
1572,82138
1573,99500
1574,-32942
1575,-12723
1576,-75840
1577,-40718
1578,41056
1579,-83030
1580,40677
1581,-92945
1582,-20168
1583,96596
1584,-45833
1585,-26975
1586,47835
1587,97016
1588,-43982
1589,-11095
1590,-28887
1591,70685
1592,-7813
1593,-57939
1594,2451
1595,-71084
1596,25453
1597,59655
1598,67100
1599,44888
1600,-86800
1601,-35685
1602,-38483
1603,-72698
1604,27561
1605,6820
1606,-12285
1607,40675
1608,53665
1609,-63403
1610,-15236
1611,-77705
1612,43590
1613,-83931
1614,14344
1615,29614
1616,44487
1617,-28558
1618,-21425
1619,-12304
1620,-64520
1621,77083
1622,-22955
1623,10009
1624,-2835
1625,14119
1626,1967
1627,-87106
1628,-24028
1629,90710
1630,78810
1631,45790
1632,89036
1633,54377
1634,-51621
1635,-86286
1636,-25427
1637,82054
1638,44093
1639,75528
1640,99740
1641,65692
1642,-66851
1643,-44720
1644,82391
1645,-405
1646,97311
1647,-56547
1648,46522
1649,-46066
1650,-73182
1651,8996
1652,46478
1653,-19677
1654,30974
1655,-29467
1656,-83971
1657,-20608
1658,49943
1659,41219
1660,21545
1661,-5454
1662,14618
1663,-78896
1664,14239
1665,62895
1666,55504
1667,-67207
1668,18643
1669,-41054
1670,-28943
1671,-71989
1672,53577
1673,7815
1674,-290
1675,81825
1676,-82494
1677,-90163
1678,821
1679,-82427
1680,96962
1681,-28265
1682,87184
1683,-40424
1684,66995
1685,-70837
1686,-82013
1687,-78680
1688,47208
1689,39014
1690,-71556
1691,63689
1692,52950
1693,-70316
1694,16120
1695,88709
1696,69641
1697,-98945
1698,78275
1699,96718
1700,-82522
1701,87770
1702,-94591
1703,42329
1704,-17199
1705,-27365
1706,-34115
1707,-95180
1708,98222
1709,90546
1710,39923
1711,-75528
1712,17955
1713,9870
1714,57775
1715,-55501
1716,-91169
1717,-96641
1718,66460
1719,-41897
1720,37914
1721,2485
1722,75641
1723,90506
1724,-75085
1725,-89491
1726,96676
1727,-27164
1728,98811
1729,4995
1730,84528
1731,-70552
1732,-77059
1733,70699
1734,6547
1735,-30777
1736,-5154
1737,82779
1738,-75733
1739,-65219
1740,34899
1741,82966
1742,37448
1743,-55416
1744,-76647
1745,-84700
1746,74799
1747,42583
1748,37282
1749,-26693
1750,77833
1751,-25329
1752,35772
1753,-47340
1754,46116
1755,-7341
1756,42612
1757,87881
1758,-86518
1759,21765
1760,32261
1761,-50698
1762,33128
1763,11099
1764,29929
1765,3988
1766,-67073
1767,-19591
1768,61537
1769,-91459
1770,34153
1771,31403
1772,20954
1773,94957
1774,33570
1775,26067
1776,-81208
1777,-2263
1778,12686
1779,-43537
1780,56706
1781,97972
1782,69590
1783,-35596
1784,-92436
1785,50059
1786,-71938
1787,61872
1788,-83842
1789,68086
1790,87320
1791,73518
1792,-25303
1793,-57569
1794,-28409
1795,30599
1796,-41645
1797,71514
1798,30346
1799,-48238
1800,5396
1801,-43830
1802,39896
1803,-65607
1804,-18562
1805,-61050
1806,1480
1807,80553
1808,-30946
1809,44316
1810,54452
1811,-95338
1812,69067
1813,-70464
1814,-2980
1815,-23422
1816,-53889
1817,48849
1818,91901
1819,-20661
1820,-68929
1821,-95767
1822,26301
1823,84394
1824,23129
1825,-70377
1826,-60129
1827,11330
1828,-69334
1829,73149
1830,-16520
1831,63553
1832,-55547
1833,-42871
1834,37842
1835,70863
1836,49798
1837,-63295
1838,-31804
1839,78196
1840,-46384
1841,-6868
1842,61943
1843,40196
1844,35628
1845,2747
1846,46820
1847,-36151
1848,-57532
1849,-28100
1850,-75727
1851,-88727
1852,-37014
1853,-75590
1854,-29579
1855,-58295
1856,-84464
1857,-14404
1858,82159
1859,-12978
1860,39870
1861,-41047
1862,61475
1863,-58510
1864,35965
1865,-32667
1866,54994
1867,-67955
1868,92935
1869,-33565
1870,87857
1871,20147
1872,25184
1873,-14491
1874,-36543
1875,76442
1876,-30298
1877,53232
1878,-99970
1879,16536
1880,-8786
1881,1207
1882,-1575
1883,-64356
1884,23311
1885,-94085
1886,-26928
1887,-66458
1888,-33288
1889,65592
1890,97879
1891,45431
1892,-32680
1893,7457
1894,15333
1895,11546
1896,-5691
1897,93762
1898,-44023
1899,63679
1900,38713
1901,-86108
1902,-40732
1903,-54706
1904,-81184
1905,-74801
1906,48760
1907,-12535
1908,93168
1909,30762
1910,49759
1911,-65213
1912,-40697
1913,-4965
1914,64384
1915,20423
1916,-26076
1917,31638
1918,5360
1919,-75962
1920,-56082
1921,-56894
1922,52887
1923,47965
1924,56134
1925,-22956
1926,-50577
1927,60274
1928,-69893
1929,22558
1930,-1292
1931,-46864
1932,-62359
1933,-78364
1934,-87310
1935,98088
1936,73409
1937,-91306
1938,27698
1939,79710
1940,89987
1941,25808
1942,-64680
1943,-71345
1944,8819
1945,19721
1946,66485
1947,-40624
1948,11257
1949,-87478
1950,92134
1951,-94900
1952,-31746
1953,94941
1954,69912
1955,44592
1956,43269
1957,95485
1958,92430
1959,-85069
1960,-55363
1961,-17707
1962,31301
1963,47412
1964,3324
1965,62720
1966,5622
1967,-650
1968,44252
1969,5081
1970,52987
1971,-21878
1972,80969
1973,33839
1974,-58680
1975,-16579
1976,-52473
1977,-87481
1978,67781
1979,80499
1980,66035
1981,-4401
1982,43815
1983,-95953
1984,-85960
1985,62542
1986,-85113
1987,-94114
1988,-10652
1989,46192
1990,45855
1991,85456
1992,-17859
1993,-71449
1994,16945
1995,-42056
1996,43827
1997,86739
1998,-11678
1999,-87993
2000,-82765
2001,43414
2002,6170
2003,-99479
2004,23108
2005,-66649
2006,-18830
2007,13914
2008,42718
2009,-61418
2010,88365
2011,-35116
2012,-73205
2013,60053
2014,-18929
2015,-27409
2016,66067
2017,64073
2018,-22144
2019,-54470
2020,77675
2021,39719
2022,55896
2023,93105
2024,-21594
2025,72809
2026,-88536
2027,-28817
2028,30714
2029,2459
2030,-78746
2031,-69594
2032,47026
2033,-74822
2034,23702
2035,8731
2036,-20083
2037,82309
2038,29565
2039,23160
2040,-81099
2041,66882
2042,-90206
2043,62320
2044,76374
2045,14787
2046,-47676
2047,62063
2048,-20944
2049,65600
2050,-3658
2051,-90764
2052,27711
2053,53718
2054,-86468
2055,25676
2056,-92481
2057,-37459
2058,38290
2059,70285
2060,-11456
2061,-60331
2062,-59299
2063,46906
2064,-36123
2065,63693
2066,-58232
2067,72514
2068,47587
2069,-23068
2070,67684
2071,-80671
2072,-92659
2073,-85163
2074,-57390
2075,19014
2076,14427
2077,54291
2078,15399
2079,25955
2080,-42726
2081,-70089
2082,-20190
2083,-24725
2084,-51988
2085,71518
2086,-20590
2087,85522
2088,51297
2089,-13209
2090,-51035
2091,-29944
2092,96233
2093,47554
2094,-84698
2095,-10342
2096,56296
2097,-12666
2098,5416
2099,-27289
2100,-7858
2101,-38343
2102,38919
2103,-90144
2104,-37517
2105,-77683
2106,-98305
2107,2560
2108,66910
2109,68233
2110,-52945
2111,-67596
2112,12856
2113,-73501
2114,-94032
2115,-59761
2116,39052
2117,56411
2118,-90659
2119,52252
2120,10769
2121,-55764
2122,81835
2123,98575
2124,43738
2125,78989
2126,46553
2127,-69189
2128,51147
2129,49202
2130,-49327
2131,94593
2132,-57074
2133,82751
2134,-34423
2135,-55071
2136,-76159
2137,-58139
2138,97918
2139,96591
2140,77592
2141,-14883
2142,79460
2143,-59124
2144,-41280
2145,-61369
2146,41568
2147,-79503
2148,-48502
2149,-87819
2150,41262
2151,-48982
2152,38389
2153,-17379
2154,77171
2155,59185
2156,-48287
2157,24310
2158,-1065
2159,-55537
2160,-51491
2161,-90963
2162,-12775
2163,75507
2164,-71907
2165,46492
2166,94427
2167,49434
2168,67390
2169,57277
2170,-61974
2171,93823
2172,48347
2173,77076
2174,-637
2175,-30361
2176,-84012
2177,-6323
2178,14810
2179,-26391
2180,-51329
2181,54796
2182,-698
2183,-58249
2184,81779
2185,8788
2186,-38900
2187,41561
2188,-71673
2189,-18658
2190,-12265
2191,-1569
2192,81670
2193,785
2194,49576
2195,67898
2196,58369
2197,-10839
2198,-14894
2199,96137
2200,-69157
2201,6602
2202,61294
2203,51122
2204,-68587
2205,-53130
2206,15449
2207,-31558
2208,96777
2209,8631
2210,31470
2211,-10588
2212,85073
2213,2945
2214,3878
2215,6639
2216,93333
2217,27167
2218,-91474
2219,5073
2220,15060
2221,-75968
2222,57370
2223,-34553
2224,-55357
2225,-33938
2226,37964
2227,-48386
2228,15481
2229,44188
2230,-13049
2231,-64028
2232,-45344
2233,27006
2234,-60248
2235,-38538
2236,-26838
2237,10929
2238,-37647
2239,4651
2240,-29778
2241,-8704
2242,-32808
2243,-2863
2244,-78089
2245,-38041
2246,-58001
2247,70113
2248,-13389
2249,97823
2250,-69293
2251,58251
2252,75368
2253,51788
2254,78484
2255,309
2256,97443
2257,24835
2258,65505
2259,37163
2260,-77454
2261,46927
2262,-39529
2263,22796
2264,-81705
2265,-76470
2266,49791
2267,-14806
2268,-25671
2269,29516
2270,59128
2271,-82611
2272,-68091
2273,41988
2274,-84942
2275,21092
2276,61995
2277,-57878
2278,11272
2279,64088
2280,75193
2281,61748
2282,-71361
2283,-15424
2284,-26721
2285,73962
2286,21576
2287,47348
2288,92206
2289,-18146
2290,43409
2291,22426
2292,87107
2293,-6881
2294,35861
2295,-93386
2296,-64134
2297,3412
2298,15352
2299,85135
2300,-46000
2301,7548
2302,-1635
2303,1269
2304,12226
2305,-50983
2306,2862
2307,88531
2308,-73805
2309,6113
2310,16031
2311,54826
2312,-18918
